"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"	"evidence_codes"	"intersection"
query_1	TRUE	0.00473383007054424	3	22	3	0.136363636363636	1	CORUM:3753	CORUM	CREBBP-SMAD2-SMAD4 pentameric complex	752	1509	CORUM:0000000	CORUM,CORUM,CORUM	CREBBP,SMAD2,SMAD4
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:3749	CORUM	CREBBP-SMAD2 hexameric complex	752	1507	CORUM:0000000	CORUM,CORUM	CREBBP,SMAD2
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:5264	CORUM	TCF4-CTNNB1-CREBBP complex	752	1617	CORUM:0000000	CORUM,CORUM	CREBBP,CTNNB1
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:3038	CORUM	SMAD2-SMAD4-FAST1 complex	752	1348	CORUM:0000000	CORUM,CORUM	SMAD2,SMAD4
query_1	TRUE	0.019724291960601	7	22	3	0.136363636363636	0.428571428571429	CORUM:1505	CORUM	NCOR2 complex	752	767	CORUM:0000000	CORUM,CORUM,CORUM	HDAC2,HDAC3,NCOR2
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:1188	CORUM	SMRT core complex	752	665	CORUM:0000000	CORUM,CORUM	HDAC3,NCOR2
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:752	CORUM	SMRT core complex	752	416	CORUM:0000000	CORUM,CORUM	HDAC3,NCOR2
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:3233	CORUM	SMAD2-SMAD4-FAST1-TGIF complex, TGF(beta) induced	752	1473	CORUM:0000000	CORUM,CORUM	SMAD2,SMAD4
query_1	TRUE	0.019724291960601	2	22	2	0.0909090909090909	1	CORUM:3739	CORUM	SKI-SMAD2-SMAD4  pentameric complex	752	1505	CORUM:0000000	CORUM,CORUM	SMAD2,SMAD4
query_1	TRUE	0.0249089629902447	3	22	2	0.0909090909090909	0.666666666666667	CORUM:2834	CORUM	SMAD4-SMAD2-SMAD3 complex	752	1232	CORUM:0000000	CORUM,CORUM	SMAD2,SMAD4
query_1	TRUE	0.0249089629902447	3	22	2	0.0909090909090909	0.666666666666667	CORUM:3754	CORUM	CREBBP-SMAD3-SMAD4 pentameric complex	752	1510	CORUM:0000000	CORUM,CORUM	CREBBP,SMAD4
query_1	TRUE	0.0249089629902447	9	22	3	0.136363636363636	0.333333333333333	CORUM:2829	CORUM	RSmad complex	752	1229	CORUM:0000000	CORUM,CORUM,CORUM	CREBBP,SMAD2,SMAD4
