#chromosome Enhancer	start Enhancer	end Enhancer	chromosome Enhancer bin	start Enhancer bin	end Enhancer bin	chromosome Promoter	start Promoter	end Promoter	gene name
10	100010000	100025000	10	100014000	100015000	10	100206221	100207220	HPS1
10	100010000	100025000	10	100015000	100016000	10	100206221	100207220	HPS1
10	100010000	100025000	10	100020000	100021000	10	100206221	100207220	HPS1
10	100010000	100025000	10	100014000	100015000	10	100205577	100206576	LOC101927278
10	100010000	100025000	10	100020000	100021000	10	100205577	100206576	LOC101927278
10	100085000	100100000	10	100093000	100094000	10	100206221	100207220	HPS1
10	100085000	100100000	10	100094000	100095000	10	100206221	100207220	HPS1
10	100085000	100100000	10	100093000	100094000	10	100205577	100206576	LOC101927278
10	100085000	100100000	10	100094000	100095000	10	100205577	100206576	LOC101927278
10	1010000	1025000	10	1017000	1018000	10	1033848	1034847	GTPBP4
10	1010000	1025000	10	1018000	1019000	10	1033848	1034847	GTPBP4
10	101145000	101160000	10	101153000	101154000	10	101190031	101191030	GOT1
10	101145000	101160000	10	101154000	101155000	10	101190031	101191030	GOT1
10	101145000	101160000	10	101155000	101156000	10	101190031	101191030	GOT1
10	101145000	101160000	10	101156000	101157000	10	101190031	101191030	GOT1
10	101145000	101160000	10	101157000	101158000	10	101190031	101191030	GOT1
10	101145000	101160000	10	101155000	101156000	10	101379722	101380721	SLC25A28
10	101145000	101160000	10	101156000	101157000	10	101379722	101380721	SLC25A28
10	101145000	101160000	10	101157000	101158000	10	101379722	101380721	SLC25A28
10	101150000	101165000	10	101155000	101156000	10	101379722	101380721	SLC25A28
10	101150000	101165000	10	101156000	101157000	10	101379722	101380721	SLC25A28
10	101150000	101165000	10	101157000	101158000	10	101379722	101380721	SLC25A28
10	101700000	101715000	10	101705000	101706000	10	101769211	101770210	DNMBP
10	101700000	101715000	10	101706000	101707000	10	101769211	101770210	DNMBP
10	101700000	101715000	10	101707000	101708000	10	101769211	101770210	DNMBP
10	101700000	101715000	10	101708000	101709000	10	101769211	101770210	DNMBP
10	102195000	102210000	10	102198000	102199000	10	102279096	102280095	SEC31B
10	102195000	102210000	10	102202000	102203000	10	102279096	102280095	SEC31B
10	102195000	102210000	10	102203000	102204000	10	102279096	102280095	SEC31B
10	102195000	102210000	10	102211000	102212000	10	102279096	102280095	SEC31B
10	102715000	102730000	10	102725000	102726000	10	102746773	102747772	MRPL43
10	102715000	102730000	10	102725000	102726000	10	102746792	102747791	TWNK
10	102795000	102810000	10	102803000	102804000	10	102820498	102821497	KAZALD1
10	102795000	102810000	10	102804000	102805000	10	102820498	102821497	KAZALD1
10	104475000	104490000	10	104482000	104483000	10	104677574	104678573	CNNM2
10	104475000	104490000	10	104483000	104484000	10	104677574	104678573	CNNM2
10	104475000	104490000	10	104484000	104485000	10	104677574	104678573	CNNM2
10	104525000	104540000	10	104535000	104536000	10	105005143	105006142	RPEL1
10	104525000	104540000	10	104536000	104537000	10	105005143	105006142	RPEL1
10	104525000	104540000	10	104535000	104536000	10	105127209	105128208	TAF5
10	104525000	104540000	10	104536000	104537000	10	105127209	105128208	TAF5
10	104525000	104540000	10	104541000	104542000	10	105127209	105128208	TAF5
10	104530000	104545000	10	104535000	104536000	10	105005143	105006142	RPEL1
10	104530000	104545000	10	104536000	104537000	10	105005143	105006142	RPEL1
10	104530000	104545000	10	104546000	104547000	10	105005143	105006142	RPEL1
10	104680000	104695000	10	104691000	104692000	10	105005143	105006142	RPEL1
10	104685000	104700000	10	104691000	104692000	10	105005143	105006142	RPEL1
10	104685000	104700000	10	104695000	104696000	10	105005143	105006142	RPEL1
10	104685000	104700000	10	104696000	104697000	10	105005143	105006142	RPEL1
10	104740000	104755000	10	104749000	104750000	10	105005143	105006142	RPEL1
10	104740000	104755000	10	104750000	104751000	10	105005143	105006142	RPEL1
10	104740000	104755000	10	104751000	104752000	10	105005143	105006142	RPEL1
10	104740000	104755000	10	104752000	104753000	10	105005143	105006142	RPEL1
10	104740000	104755000	10	104756000	104757000	10	105005143	105006142	RPEL1
10	104750000	104765000	10	104751000	104752000	10	105005143	105006142	RPEL1
10	104750000	104765000	10	104752000	104753000	10	105005143	105006142	RPEL1
10	104750000	104765000	10	104756000	104757000	10	105005143	105006142	RPEL1
10	104850000	104865000	10	104854000	104855000	10	105005143	105006142	RPEL1
