Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	5.040	16.200	-1.510	2.89e-35
A1BG-AS1	ENSG00000268895.5	1.050	3.295	-1.067	3.87e-59
A4GALT	ENSG00000128274.15	13.950	31.394	-1.116	8.21e-57
AASS	ENSG00000008311.14	4.825	14.975	-1.456	5.60e-49
AATK	ENSG00000181409.11	1.180	5.140	-1.494	5.69e-53
ABCA10	ENSG00000154263.17	0.450	3.085	-1.494	2.60e-82
ABCA6	ENSG00000154262.12	0.510	2.895	-1.367	3.96e-80
ABCA7	ENSG00000064687.12	4.945	12.350	-1.167	1.86e-41
ABCA8	ENSG00000141338.13	2.655	9.877	-1.573	5.19e-50
ABCA9	ENSG00000154258.16	0.260	1.715	-1.108	5.66e-74
ABCC10	ENSG00000124574.14	8.735	20.654	-1.153	7.74e-71
ABCC3	ENSG00000108846.15	3.285	25.080	-2.606	7.72e-79
ABCC4	ENSG00000125257.13	115.076	16.260	2.750	7.50e-74
ABHD2	ENSG00000140526.16	66.244	20.875	1.620	2.08e-33
ABO	ENSG00000175164.13	0.540	3.835	-1.651	3.26e-54
ABTB1	ENSG00000114626.17	19.600	44.304	-1.137	2.34e-60
AC000089.3	ENSG00000235776.2	4.700	0.790	1.671	6.33e-95
AC002116.8	ENSG00000248101.2	0.480	2.890	-1.394	6.42e-49
AC002398.12	ENSG00000267328.1	2.620	7.889	-1.296	4.10e-25
AC003090.1	ENSG00000223561.6	0.570	2.165	-1.011	5.28e-43
AC003973.3	ENSG00000279377.1	0.140	1.470	-1.115	4.65e-72
AC003991.3	ENSG00000228113.7	2.790	0.775	1.094	2.80e-20
AC004540.5	ENSG00000214870.8	3.315	1.125	1.022	9.74e-38
AC004854.4	ENSG00000234183.1	1.045	0.000	1.032	7.93e-15
AC005042.4	ENSG00000204380.4	0.310	1.655	-1.019	2.51e-66
AC005104.3	ENSG00000223374.1	0.500	3.260	-1.506	2.42e-68
AC005154.6	ENSG00000196295.11	13.280	44.983	-1.687	2.85e-44
AC005154.7	ENSG00000244480.1	0.440	2.110	-1.111	8.61e-63
AC005253.2	ENSG00000268030.1	0.710	3.654	-1.445	1.26e-68
AC005255.3	ENSG00000256210.3	3.720	0.000	2.239	1.80e-49
AC005336.5	ENSG00000267218.2	0.805	5.294	-1.802	3.33e-15
AC005517.3	ENSG00000223878.1	0.520	2.760	-1.307	3.51e-52
AC005519.4	ENSG00000258559.2	0.360	3.400	-1.694	2.68e-85
AC005538.3	ENSG00000279809.1	2.510	0.700	1.046	1.63e-31
AC005943.2	ENSG00000267059.2	7.995	0.130	2.993	2.95e-31
AC006128.2	ENSG00000279716.1	2.060	18.758	-2.691	6.24e-58
AC007009.1	ENSG00000244239.1	31.364	10.150	1.537	3.28e-74
AC007326.1	ENSG00000279560.1	0.860	4.275	-1.504	2.09e-36
AC007566.10	ENSG00000244055.1	0.785	3.315	-1.273	3.85e-60
AC008746.12	ENSG00000267838.2	1.190	3.655	-1.088	1.19e-27
