Gene_ID	LNCaP_1	LNCaP_2
ZNF207	51.4384	51.6634
OTOR	0	0
AMACR	59.8863	65.0214
FAXDC2	0.417811	0.148642
EEF1A1	5517.4	5504.63
STAMBPL1	1.26617	1.48984
HNRNPA0	57.9794	57.3126
FAT3	0	0
RCAN3	9.50829	10.9977
RP11-242G20.1	0	0
CD248	0	0
C10orf2	4.32094	4.4642
KLHL9	5.63404	5.47252
MIOX	0.430261	0.217975
FAM159A	0	0
ARGFX	0	0
SSR4	328.987	337
MAP4K5	11.1802	10.6525
HEXIM2	8.09917	11.4511
SHCBP1	2.8533	3.05025
DNAJC7	46.7742	44.4935
TCP11X1	0	0
STRADA	11.356	12.3968
ZKSCAN3	1.475	1.95371
ZNF300	3.39731	3.64194
TIMP4	0	0
LONRF2	1.96978	2.20934
STXBP2	36.2997	33.5849
ARHGAP42	0.371525	0.135146
HSPA1A	22.4171	22.1081
COL24A1	0.0254625	0.0182054
CXCL1	0	0
ANXA11	40.9712	40.9425
GTF2H2	111.036	114.368
OR4F3	0	0
TP53TG3B	0.536263	0.542563
ANKIB1	5.73122	6.79228
ADRB3	0	0
SMOC2	0.124052	0.10519
ARHGEF18	10.8834	9.90132
CCDC3	0	0.0128653
DYSF	0.0186151	0.0178846
TCL1B	0	0
HLF	1.35232	1.5432
CALB2	0.03553	0
MT1G	213.447	214.268
DAOA	0	0
MRPL51	95.6689	90.4159
CYP4A22	0	0
DDB2	6.91398	7.78125
DNAJB1	35.1153	34.867
THOC7	30.8322	30.2657
AC008498.1	0	0
CAPN6	0.0119	0.0230113
SLC6A9	25.2257	25.2592
MAPKAP1	54.1445	57.2017
TAOK3	11.5167	10.6831
PTGDR2	0.0149483	0.071315
DNAJC2	9.97544	10.1634
SLC25A5	238.824	238.958
IP6K3	0.0307511	0
CDY1B	0	0
FAM69A	1.63478	1.4464
C12orf44	30.1516	29.7373
CEP89	6.96734	6.82065
TMEM5	12.3162	13.2235
TFAM	39.1833	40.7629
POTEB2	0	0
ADARB1	3.79405	4.11013
ASIC5	0	0
EIF5B	15.2871	13.8509
AC008443.1	3.18382	2.3101
ZSCAN32	3.05482	3.4552
UVRAG	3.10903	3.92338
GRIN2C	0.24685	0.431161
USP2	1.39896	1.43686
NID2	0	0.0441598
HES6	53.3419	45.9899
PTCHD3	0	0
FGFR3	0.268427	0.280392
NOLC1	70.1644	68.7301
