Gene	cluster	CTCF	CTCF_OR	CTCF_pv	GWAS	GWAS_OR	GWAS_pv	GWAS_Cat_prostate.carcinoma	GWAS_Cat_prostate.carcinoma_OR	GWAS_Cat_prostate.carcinoma_pv
NT5C2	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
SLC25A28	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
NR3C2	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
RDH10	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
SLC9A7	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
STRN3	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
PDCD4	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
DACT2	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
VPS13C	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
PNRC1	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
SPEN	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
LOC440434	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
DBT	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
KCNIP1	1	-	0.6170459035769611	1.9157567646320146e-09	=	0.6132661326613266	0.1433590404870333	=	0.46731628095818106	0.1609585306153573
