Node	OR	p	cluster_type2	Uniquely_enriched
USP22	21.1619470641989	7.4175917672847e-16	8.+.+	1
CSE1L	14.1833284741618	1.43640333878112e-15	8.+.+	1
EIF4ENIF1	8.68585970879652	1.39274972378682e-19	8.+.+	1
CSNK2B	7.44536459297678	6.47539464633273e-47	8.+.+	1
HEY1	6.26264546719072	2.9561478217356e-08	8.+.+	1
ANKRA2	4.0719096055121	9.58576664442882e-07	8.+.+	1
CREB3	3.82222894451837	0.0002921041262196	8.+.+	1
BANP	Inf	2.3051404950737e-41	8.+.+	0
BRCA1	Inf	3.40366582760869e-27	8.+.+	0
CREBBP	Inf	0.00635372540524056	8.+.+	0
CTNNB1	Inf	2.95866827409149e-16	8.+.+	0
EP300	Inf	1	8.+.+	0
HCFC1	Inf	2.21346940774547e-14	8.+.+	0
HDAC1	Inf	0.0041849325700416	8.+.+	0
HDAC2	Inf	7.53269574056747e-06	8.+.+	0
HDAC3	Inf	2.3994257447068e-11	8.+.+	0
HMGA1	Inf	5.75122593345216e-28	8.+.+	0
HSP90AA1	Inf	6.01656489664691e-43	8.+.+	0
KAT2B	Inf	3.83072303862557e-12	8.+.+	0
KAT5	Inf	7.94751205254771e-16	8.+.+	0
MAPK8	Inf	1.29011563725005e-18	8.+.+	0
MDM2	Inf	2.86814470812599e-08	8.+.+	0
NCOR1	Inf	3.5900438880528e-14	8.+.+	0
NCOR2	Inf	7.24744109096944e-08	8.+.+	0
NFATC1	Inf	1.60436780285139e-44	8.+.+	0
NPM1	Inf	3.37306944196142e-22	8.+.+	0
PARP1	Inf	2.26455127061849e-10	8.+.+	0
PGR	Inf	1.96764621981892e-37	8.+.+	0
PML	Inf	6.11121044898463e-14	8.+.+	0
PSMC5	Inf	3.90823456301795e-53	8.+.+	0
RB1	Inf	4.19726883893962e-17	8.+.+	0
RXRA	Inf	2.19875728559833e-20	8.+.+	0
SMAD2	Inf	6.10948288159955e-12	8.+.+	0
SMAD4	Inf	3.31864522740221e-09	8.+.+	0
SMARCA4	Inf	1.27028785770539e-08	8.+.+	0
TBP	Inf	8.34388843880037e-16	8.+.+	0
ACTR5	186.169293808288	1.15862903499118e-57	8.+.+	0
PRKCD	185.789241037476	1.19521731121356e-57	8.+.+	0
BCOR	160.832086083509	1.87754746527154e-51	8.+.+	0
RUNX1T1	152.668954795499	2.99110675126476e-49	8.+.+	0
VHL	109.772343645132	1.29064154755143e-63	8.+.+	0
POU2F1	101.851713909127	8.59165603291685e-35	8.+.+	0
NFATC2	83.2271729667738	7.93215663993422e-51	8.+.+	0
GSK3B	68.8946316824707	1.28533457305485e-24	8.+.+	0
CEBPB	67.5289191783258	3.8074225565888e-24	8.+.+	0
POGZ	64.3878261582908	5.36305591370502e-41	8.+.+	0
FOXJ2	61.6673286513915	5.06374849752729e-22	8.+.+	0
UBA52	61.511731901722	2.05921588176294e-39	8.+.+	0
ZBTB17	58.6188626488219	3.00788295783193e-74	8.+.+	0
YAP1	53.1339417874543	9.61518427146037e-59	8.+.+	0
APP	52.3337780672183	7.10113062367604e-19	8.+.+	0
SIAH1	50.474919028386	2.04225976213281e-56	8.+.+	0
PSMA3	40.3992253383358	1.57033005771672e-69	8.+.+	0
CRK	37.9759675519687	1.51006818117296e-91	8.+.+	0
GLRX3	35.2304799635446	5.6895188982451e-56	8.+.+	0
PRKAB2	34.4051769561658	8.77027883215841e-105	8.+.+	0
FHL2	33.0207206769332	4.80653698702646e-22	8.+.+	0
APPL1	32.7691262510063	1.03645059242049e-110	8.+.+	0
BCL11B	31.3764520998715	1.54776067847227e-56	8.+.+	0
SREBF2	29.4864669301491	1.79176909603595e-53	8.+.+	0
FBXW7	28.3960718936724	4.97804092178084e-34	8.+.+	0
WWP1	28.0264430699147	4.61744494700567e-69	8.+.+	0
RARA	25.9658839160155	2.33325647278671e-17	8.+.+	0
HUWE1	24.5458462467918	1.90145999357805e-65	8.+.+	0
OTUB1	23.8377737913818	4.05780226939693e-91	8.+.+	0
SET	22.4256655388833	1.52224843710908e-57	8.+.+	0
CEBPA	22.1013570402805	7.55597987248397e-60	8.+.+	0
NUP62	21.383292802858	3.72121813532474e-55	8.+.+	0
CBX5	20.8227949084722	2.09767836882767e-50	8.+.+	0
UBE2I	20.0935289239103	2.9436734577149e-07	8.+.+	0
ATF7IP	19.9395828920549	2.80047276841153e-70	8.+.+	0
JUNB	19.7376385237024	1.23591429062132e-69	8.+.+	0
DDX3X	19.3981263478598	1.73182868756817e-61	8.+.+	0
MEF2C	17.3838165629931	1.14775562683309e-62	8.+.+	0
CITED2	16.9937688273824	1.24435564746271e-52	8.+.+	0
EPAS1	16.3868532591432	3.41046984381555e-63	8.+.+	0
PRKAA2	15.8835855557785	7.13801157488232e-42	8.+.+	0
AURKA	15.7985539426208	2.4419585520901e-26	8.+.+	0
PSME3	15.7770587801656	5.8392443482975e-89	8.+.+	0
PPARG	14.9873724001954	6.1674880545879e-14	8.+.+	0
CEBPG	14.5220759873382	7.20483470276978e-77	8.+.+	0
BAP1	13.32611952107	3.81620618800235e-70	8.+.+	0
MAD2L1BP	12.7748403454033	2.47754680900126e-81	8.+.+	0
RPS7	12.7748403454033	2.47754680900126e-81	8.+.+	0
JUND	12.6820167172502	7.7671603295646e-29	8.+.+	0
KDM5B	12.6104760676881	1.07752608380099e-49	8.+.+	0
EED	12.2915836731168	1.15528201178633e-52	8.+.+	0
MED6	12.1380835538784	1.72475471501869e-73	8.+.+	0
PIAS1	11.2391962214246	2.52666145271565e-18	8.+.+	0
FOSL2	11.1687000105178	3.30934565999698e-72	8.+.+	0
PSMD2	10.9584281177158	1.83729580127337e-72	8.+.+	0
SMURF2	10.8212876960613	4.10343209518661e-68	8.+.+	0
POLR2L	10.7681833096874	3.86852983675914e-72	8.+.+	0
NFYC	10.7603302631344	9.46318785905698e-54	8.+.+	0
CTBP1	10.641128953137	4.97216184196475e-17	8.+.+	0
IKBKB	10.5766169772764	1.71766148368517e-40	8.+.+	0
CDK2	10.5529095695953	5.23216170762552e-31	8.+.+	0
ATP5O	10.5097657097251	2.42735979299516e-71	8.+.+	0
APPBP2	10.4599991833253	1.6269703866996e-70	8.+.+	0
PPIG	10.4374094776625	1.98807708400649e-62	8.+.+	0
GTF3C1	10.3626859008029	1.41056996861539e-68	8.+.+	0
PNO1	10.3626859008029	1.41056996861539e-68	8.+.+	0
TPI1	10.299213632814	3.70887108736594e-69	8.+.+	0
MCM7	10.0118205209614	1.863355741657e-65	8.+.+	0
EPM2AIP1	9.84451103958743	6.80741160042272e-61	8.+.+	0
DROSHA	9.70080375350202	1.84305057751588e-67	8.+.+	0
CCNA2	9.65869859328276	2.13887069165484e-66	8.+.+	0
CDKN2A	9.6178766516307	6.18912086389117e-63	8.+.+	0
CLU	9.6156924620006	1.39069433539214e-66	8.+.+	0
ATAD2	9.54823609725752	1.72541690242051e-65	8.+.+	0
EAF1	9.41734434276296	2.28658949212497e-39	8.+.+	0
TXN2	9.40203732593893	3.6206853309239e-65	8.+.+	0
SMAD3	9.35377658306254	9.41857616578111e-06	8.+.+	0
H2AFX	9.24598709080643	3.83608509829509e-22	8.+.+	0
PSMA4	9.24598709080643	3.83608509829509e-22	8.+.+	0
PSMA7	9.24598709080643	3.83608509829509e-22	8.+.+	0
XRCC5	9.14992469938346	5.75876241251689e-20	8.+.+	0
INTS3	9.03723572937476	2.76770586891989e-61	8.+.+	0
BYSL	9.03424107527023	1.11928007822449e-63	8.+.+	0
MEF2D	9.00580426287584	1.83233950614832e-55	8.+.+	0
CEP70	8.97763043788075	1.8522989562066e-62	8.+.+	0
MORF4L2	8.97412633773399	3.87954621189289e-63	8.+.+	0
EIF1AD	8.90344718263186	3.76281494899061e-60	8.+.+	0
ING4	8.87759671392216	9.89659422440836e-07	8.+.+	0
BPTF	8.86310432507038	3.74060941717836e-61	8.+.+	0
RING1	8.84437444377437	1.34136501247539e-46	8.+.+	0
YY1	8.79000094221545	1.05602468694217e-36	8.+.+	0
SDCBP	8.74480815472198	4.43041310912462e-60	8.+.+	0
FOXM1	8.72338619534505	6.0172975754082e-62	8.+.+	0
TFE3	8.56017867413476	0.00363018854228354	8.+.+	0
AKAP8L	8.51362387378489	4.57071699464594e-33	8.+.+	0
PRKCZ	8.46588501060948	3.66353405617267e-32	8.+.+	0
KDM5C	8.35308300313297	3.12300914305596e-40	8.+.+	0
NUP205	8.34882796903915	4.62633565273528e-12	8.+.+	0
NAA10	8.29000520996939	7.23400658199194e-44	8.+.+	0
KEAP1	8.06481825393944	2.34584204495285e-33	8.+.+	0
SIRT7	8.06410114739704	1.55078832925941e-53	8.+.+	0
TAF12	7.99863488581291	3.28798006732982e-18	8.+.+	0
ATP2A2	7.99119062534524	1.12183442816961e-28	8.+.+	0
CYC1	7.99119062534524	1.12183442816961e-28	8.+.+	0
HSPH1	7.99119062534524	1.12183442816961e-28	8.+.+	0
OAT	7.99119062534524	1.12183442816961e-28	8.+.+	0
SMURF1	7.95379960121237	4.79935025899162e-50	8.+.+	0
CCND1	7.93798436172949	2.23462005532082e-49	8.+.+	0
COMMD1	7.85070335756003	4.293479701485e-34	8.+.+	0
NFKBIB	7.74744641500971	9.33682550442997e-48	8.+.+	0
EPC1	7.73745817063445	1.26713822112422e-55	8.+.+	0
WDR5	7.71506300389786	3.44009076086093e-39	8.+.+	0
CDK4	7.71095446470358	1.14318590102815e-52	8.+.+	0
CDK6	7.71076824225974	5.04507710620684e-23	8.+.+	0
LCOR	7.67613635135367	3.4999427692564e-55	8.+.+	0
RYBP	7.64394468635132	2.39668487804149e-41	8.+.+	0
GTF3C3	7.64194490606707	1.99602082031061e-24	8.+.+	0
SIN3B	7.64194490606707	1.99602082031061e-24	8.+.+	0
SNRNP200	7.64194490606707	1.99602082031061e-24	8.+.+	0
TRRAP	7.62666040262223	2.40613347605812e-48	8.+.+	0
MAPK14	7.61200308801152	3.87034772048963e-26	8.+.+	0
RNPS1	7.58841625919855	1.1877733768124e-46	8.+.+	0
KHDRBS1	7.53367679011698	4.70929319322952e-53	8.+.+	0
EHMT1	7.53195441739054	8.78627611256037e-12	8.+.+	0
PNKP	7.44996864199333	1.09309864508553e-52	8.+.+	0
CCNG1	7.44467762772026	4.27278677988529e-53	8.+.+	0
USP28	7.34054439479118	3.97448242876746e-21	8.+.+	0
SP100	7.31553173528474	1.27364885843437e-15	8.+.+	0
NDUFAF3	7.29251403455662	9.08599005749065e-25	8.+.+	0
TRIP12	7.23634087614044	1.55264191741096e-23	8.+.+	0
MBD2	7.22724533137928	2.03384755814124e-44	8.+.+	0
ESR2	7.20556085910877	3.40017348782466e-36	8.+.+	0
ZBTB24	7.19229979155482	3.77954445557856e-32	8.+.+	0
NACC1	7.12477488564647	4.51977060036649e-45	8.+.+	0
COMMD6	7.11459156588662	4.14740234309286e-35	8.+.+	0
SNRNP70	7.10749495232257	1.62720541478841e-32	8.+.+	0
XRCC6	7.05577695599709	3.23077652412882e-18	8.+.+	0
PIN1	6.92872613332254	2.58001727202587e-22	8.+.+	0
MFAP1	6.89590295029279	3.39120324930388e-25	8.+.+	0
SNRPB2	6.89590295029279	3.39120324930388e-25	8.+.+	0
ZMAT2	6.89590295029279	3.39120324930388e-25	8.+.+	0
TFDP2	6.81388908134738	8.60271798081829e-48	8.+.+	0
COMMD4	6.78288088569867	1.71981099653529e-32	8.+.+	0
COMMD8	6.78288088569867	1.71981099653529e-32	8.+.+	0
BIN1	6.7379896151187	7.72589477455364e-06	8.+.+	0
E2F3	6.68268597291273	1.09735608099657e-44	8.+.+	0
SIN3A	6.61439078628205	2.1779739207206e-29	8.+.+	0
CHTF18	6.60511893666679	1.33471147008174e-28	8.+.+	0
ZNF281	6.60511893666679	1.33471147008174e-28	8.+.+	0
