Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Kaposi sarcoma-associated herpesvirus infection	10/193	3.2372339521983357E-15	5.01771262590742E-13	0	0	90.14116575591986	3007.4750056848775	GSK3B;CREBBP;MAPK8;CDK6;CTNNB1;MAPK1;FOS;HIF1A;UBA52;MAPK3
Colorectal cancer	8/86	2.5478279879592906E-14	1.97456669066845E-12	0	0	145.78754578754578	4563.288692272536	SMAD2;GSK3B;SMAD4;MAPK8;CTNNB1;MAPK1;FOS;MAPK3
Pathways in cancer	12/531	5.5080005890668665E-14	2.8458003043512144E-12	0	0	44.991907514450865	1373.6024691348555	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;MAPK8;CDK6;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Thyroid hormone signaling pathway	8/121	4.227250024251857E-13	1.6380593843975945E-11	0	0	100.4551201011378	2862.1727607186704	GSK3B;HDAC2;CREBBP;HDAC3;CTNNB1;MAPK1;HIF1A;MAPK3
Th17 cell differentiation	7/107	1.6408062140111963E-11	5.086499263434708E-10	0	0	92.764	2303.6314460416265	SMAD2;SMAD4;MAPK8;MAPK1;FOS;HIF1A;MAPK3
Human T-cell leukemia virus 1 infection	8/219	5.095515034599864E-11	1.316341383938298E-9	0	0	53.53283683141503	1268.7322625935421	SMAD2;SMAD4;CREBBP;MAPK8;KAT5;MAPK1;FOS;MAPK3
Breast cancer	7/147	1.5602637349134288E-10	3.3902875626238047E-9	0	0	66.12666666666667	1493.2059996015346	GSK3B;CDK6;CTNNB1;MAPK1;PGR;FOS;MAPK3
Pancreatic cancer	6/76	1.7498258387735767E-10	3.3902875626238047E-9	0	0	106.65	2396.0345923057644	SMAD2;SMAD4;MAPK8;CDK6;MAPK1;MAPK3
Hepatocellular carcinoma	7/168	3.9912308658705773E-10	6.87378649122155E-9	0	0	57.44057971014493	1243.1147382553745	SMAD2;GSK3B;SMAD4;CDK6;CTNNB1;MAPK1;MAPK3
IL-17 signaling pathway	6/94	6.436985236754113E-10	9.977327116968875E-9	0	0	84.75852272727273	1793.811629139499	GSK3B;MAPK8;JUND;MAPK1;FOS;MAPK3
Growth hormone synthesis, secretion and action	6/119	2.6966575177096967E-9	3.799835593136391E-8	0	0	65.92367256637168	1300.756648070382	GSK3B;CREBBP;MAPK8;MAPK1;FOS;MAPK3
Cell cycle	6/124	3.458258778873392E-9	4.466917589378131E-8	0	0	63.11440677966102	1229.6264690671233	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;CDK6
Signaling pathways regulating pluripotency of stem cells	6/143	8.162936481826852E-9	9.732731959101246E-8	0	0	54.309306569343065	1011.438161927308	SMAD2;GSK3B;SMAD4;CTNNB1;MAPK1;MAPK3
Gastric cancer	6/149	1.0448074386646247E-8	1.156751092807263E-7	0	0	52.01486013986014	955.8691860598759	SMAD2;GSK3B;SMAD4;CTNNB1;MAPK1;MAPK3
Prolactin signaling pathway	5/70	1.1417392575433014E-8	1.1797972327947449E-7	0	0	90.10407239819004	1647.8348075082722	GSK3B;MAPK8;MAPK1;FOS;MAPK3
Adherens junction	5/71	1.227364700785436E-8	1.1890095538858912E-7	0	0	88.73440285204991	1616.369146399783	SMAD4;CREBBP;CTNNB1;MAPK1;MAPK3
Hepatitis C	6/157	1.42957654838094E-8	1.303437441170857E-7	0	0	49.23923841059602	889.4232564852512	GSK3B;CDK6;CTNNB1;MAPK1;PIAS1;MAPK3
Hepatitis B	6/162	1.7247064418683654E-8	1.415746910615969E-7	0	0	47.64903846153846	851.7562900955558	SMAD4;CREBBP;MAPK8;MAPK1;FOS;MAPK3
Chronic myeloid leukemia	5/76	1.7354316968840913E-8	1.415746910615969E-7	0	0	82.46478873239437	1473.5983198609613	SMAD4;HDAC2;CDK6;MAPK1;MAPK3
Human papillomavirus infection	7/331	4.397131440823677E-8	3.40777686663835E-7	0	0	28.3082304526749	479.53373424618957	GSK3B;HDAC2;CREBBP;CDK6;CTNNB1;MAPK1;MAPK3
TGF-beta signaling pathway	5/94	5.090791245167441E-8	3.757488776195016E-7	0	0	65.7270323859881	1103.7703206259362	SMAD2;SMAD4;CREBBP;MAPK1;MAPK3
Prostate cancer	5/97	5.964251099221861E-8	4.202086001724493E-7	0	0	63.574168797953966	1057.5497654189173	GSK3B;CREBBP;CTNNB1;MAPK1;MAPK3
Choline metabolism in cancer	5/98	6.28045273801065E-8	4.2324790190941337E-7	0	0	62.88741302972802	1042.8769798643375	MAPK8;MAPK1;FOS;HIF1A;MAPK3
Viral carcinogenesis	6/203	6.61638570524418E-8	4.273082434636866E-7	0	0	37.65418781725889	622.4663299213324	HDAC2;CREBBP;HDAC3;CDK6;MAPK1;MAPK3
AGE-RAGE signaling pathway in diabetic complications	5/100	6.952779612445798E-8	4.310723359716395E-7	0	0	61.55727554179567	1014.5586511243146	SMAD2;SMAD4;MAPK8;MAPK1;MAPK3
Melanogenesis	5/101	7.309715511206406E-8	4.357715016296127E-7	0	0	60.91299019607843	1000.8903601721976	GSK3B;CREBBP;CTNNB1;MAPK1;MAPK3
Chagas disease	5/102	7.68105317667166E-8	4.409493490311508E-7	0	0	60.281989084293514	987.534968197468	SMAD2;MAPK8;MAPK1;FOS;MAPK3
T cell receptor signaling pathway	5/104	8.468641545442221E-8	4.6879979983698007E-7	0	0	59.058229352347	961.7225521729436	GSK3B;MAPK8;MAPK1;FOS;MAPK3
Osteoclast differentiation	5/127	2.3032553232266922E-7	1.2310502589659908E-6	0	0	47.868852459016395	731.6166350599773	MAPK8;JUND;MAPK1;FOS;MAPK3
Relaxin signaling pathway	5/129	2.489993097826043E-7	1.286496433876789E-6	0	0	47.09203036053131	716.0727351870078	SMAD2;MAPK8;MAPK1;FOS;MAPK3
