Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Colon Carcinoma	21/2091	4.606718411811365E-20	9.098268863327446E-17	0	0	181.67536231884057	8088.947641234293	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;UBA52;MAPK3
Malignant tumor of colon	20/2001	1.754755499937414E-18	1.7328210561881963E-15	0	0	90.84805653710248	3714.2503077575375	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;UBA52;MAPK3
Non-Small Cell Lung Carcinoma	19/2243	9.086570906859055E-16	5.981992513682211E-13	0	0	50.55845323741007	1751.0699787728574	SMAD2;GSK3B;XRCC6;SMAD4;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Stomach Carcinoma	19/2378	2.711407983076193E-15	1.0437312888909213E-12	0	0	47.3026706231454	1586.593460865038	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;MAPK8;CDK6;CTNNB1;MAPK1;PGR;UBA52;MAPK3
Mammary Neoplasms	19/2387	2.909761153750714E-15	1.0437312888909213E-12	0	0	47.098817567567565	1576.430647249592	SMAD2;XRCC6;SMAD4;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Malignant neoplasm of stomach	19/2398	3.1708292320736846E-15	1.0437312888909213E-12	0	0	46.85175844192238	1564.135800644124	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;MAPK8;CDK6;CTNNB1;MAPK1;PGR;UBA52;MAPK3
melanoma	19/2454	4.8804145867190296E-15	1.3621420300932675E-12	0	0	45.62861054072553	1503.624526515831	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Multiple Myeloma	16/1312	5.517537337086654E-15	1.3621420300932675E-12	0	0	38.440329218106996	1262.028481419511	SMAD2;XRCC6;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;NCOR2;MAPK8;CDK6;CTNNB1;MAPK1;MAPK3
Colorectal Neoplasms	15/1073	9.551602728301137E-15	2.096046154266083E-12	0	0	38.32028085336214	1237.0578904273802	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;FOS;HIF1A;NCOR2;MAPK8;CTNNB1;MAPK1;PGR;MAPK3
Glioma	18/2211	2.695429082970346E-14	5.323472438866434E-12	0	0	36.49452804377565	1140.2581679266348	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;MAPK3
Adenocarcinoma of lung (disorder)	15/1187	4.215449875352373E-14	7.568648639837215E-12	0	0	34.38444661140907	1058.9527589813574	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;UBE2I;XRCC5;FOS;HIF1A;CDK6;CTNNB1;MAPK1;PGR
Bladder Neoplasm	15/1217	6.07962314948995E-14	1.0006046433535542E-11	0	0	33.47278345614452	1018.6185943481962	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK3
Leukemogenesis	13/730	6.745492653126998E-14	1.0247959992250631E-11	0	0	38.80257244692391	1176.7779062894313	GSK3B;SMAD4;HDAC2;CREBBP;JUND;FOS;HIF1A;NCOR2;CDK6;KAT5;CTNNB1;MAPK1;MAPK3
Malignant neoplasm of lung	18/2449	1.624781493266736E-13	2.2921024637155742E-11	0	0	32.48107774578363	956.5103412570386	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Tumor Progression	17/2090	3.1345153453405154E-13	4.012151669537014E-11	0	0	29.366618427399903	845.4981770112148	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;NCOR2;MAPK8;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Leukemia, Myelocytic, Acute	16/1703	3.2503507196249225E-13	4.012151669537014E-11	0	0	28.91286307053942	831.3848470828124	GSK3B;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;FOS;HIF1A;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;MAPK3
Prostate carcinoma	19/3145	4.932644823739261E-13	5.730572662873553E-11	0	0	34.14246107912135	967.5198739590855	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
